method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,is_social_interaction,social_bout_number,time_from_social_onset_s,time_from_social_offset_s
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,25,164.39990399999988,3.134324170699001,True,1.0,1.925903999999889,-12.479096000000112
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,26,174.19987200000014,4.5046721393665905,True,1.0,11.725872000000152,-2.6791279999998494
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,27,177.7998720000005,3.160047367454841,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,28,182.2398720000001,3.754630203968163,True,2.0,1.2788720000000922,-3.9821279999999035
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,29,183.27987200000007,2.739116910577744,True,2.0,2.3188720000000558,-2.94212799999994
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,30,193.83984000000055,7.137851883099337,True,3.0,4.776840000000561,-2.0661599999994564
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,31,205.55980799999998,2.7625743459533196,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,32,236.87974399999985,3.446169188906377,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,33,249.75974399999996,3.3282864186538577,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,34,253.79974399999992,2.8592665094439575,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,35,254.43971200000033,1.74234185454862,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,36,260.3597120000004,2.236738849991908,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,37,268.6797120000001,1.7527879960824215,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,38,269.8797119999999,1.7599147390930419,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,39,270.5597120000002,1.8613879419796462,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,40,278.83968000000004,2.3610144114687523,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,41,284.03967999999986,1.6700617767110963,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,42,286.6396800000002,2.5913322862573724,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,43,290.67964800000027,3.183711532403285,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,1,1.800000000000182,3.197619102889105,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,2,2.360000000000582,2.970780972828549,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,3,3.119999999999891,2.5781039036818614,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,4,4.0,2.3826846401934265,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,5,4.880000000000109,1.6646348466168397,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,6,16.520000000000437,3.6180850019030646,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,7,17.23999999999978,2.2427969246264743,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,8,21.720000000000255,2.6275490295729838,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,9,32.64000000000033,1.9484320385668654,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,10,41.039999999999964,2.217383781144953,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,11,55.23999999999978,4.1287701522053375,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,12,69.28000000000065,3.367802551504211,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,13,70.19999999999982,3.673464861289156,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,14,70.76000000000022,2.094021040840131,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,15,71.27996799999983,3.2716034791842956,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,16,72.27996799999983,2.4872923131871385,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,17,72.99996800000008,2.7310203277884106,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,18,119.63993600000049,2.297498745450717,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,19,121.67993600000045,2.6149973311437535,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,20,122.19993599999998,2.395545908173808,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,21,123.11993600000005,1.7380190008016916,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,22,124.3999359999998,1.9561661927700082,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,23,125.43993600000067,1.9032647199810566,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,24,128.0399040000002,1.9433341602746292,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,25,140.31990399999995,2.0419530543726654,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,26,143.07990400000017,2.279405782173579,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,27,143.75990400000046,3.2495594972652273,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,28,144.43990399999984,3.2384174507230377,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,29,145.0399040000002,3.342348948344113,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,30,208.27980800000023,6.5248695295776225,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,31,209.11980800000038,3.4674755637745873,True,1.0,0.12980800000036652,-2.4911919999996144
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,32,209.8798080000006,3.4394216895468976,True,1.0,0.8898080000005848,-1.731191999999396
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,33,215.11980800000038,2.688820300499957,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,34,236.27980800000023,4.088061818945856,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,35,243.5197760000001,4.896727830991011,True,2.0,1.498776000000106,-0.022223999999908983
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,36,263.9597760000006,3.383417911189633,True,3.0,3.212776000000588,-3.2492239999994013
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,37,264.599776,4.083740633398114,True,3.0,3.8527760000000058,-2.6092239999999833
