syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
25,339.8246,283.5982,-0.6923,-0.873,-0.1718,-1.2547,-0.2769,-0.5154,0.1406,-0.2609
25,344.1618,278.988,-0.7102,-0.7926,-0.0825,-1.2784,-0.1987,-0.6215,-0.0376,-0.0595
25,349.1939,275.0473,-0.7405,-0.7777,-0.1568,-1.4189,-0.2364,-0.5123,0.0836,-0.107
25,355.0562,270.4226,-0.7298,-0.8188,-0.0598,-1.3554,-0.2235,-0.4247,0.0197,-0.1172
25,359.0006,266.8954,-0.7149,-0.7688,0.1611,-1.2405,-0.1739,-0.5854,0.101,0.021
25,363.5623,262.336,-0.6805,-0.7194,0.2431,-1.2864,0.1287,-0.4547,-0.2017,-0.1961
25,368.8289,256.5626,-0.6087,-0.772,0.3006,-1.1451,0.1055,-0.4019,0.0301,-0.1885
25,372.9355,252.5433,-0.647,-0.6528,0.2238,-1.243,0.3761,-0.3289,-0.3576,-0.1403
25,378.5038,248.8156,-0.6022,-0.7381,0.1818,-1.2823,0.2113,-0.5367,-0.1319,-0.0009
25,383.0413,245.4238,-0.6061,-0.8466,0.2474,-1.2202,0.1867,-0.519,-0.345,-0.0984
25,388.3062,241.2535,-0.6017,-0.8498,0.2937,-1.4306,0.2873,-0.139,-0.172,-0.3133
25,395.1311,237.0522,-0.5823,-0.8702,0.2293,-1.4989,0.3948,-0.2835,0.0471,-0.2751
25,399.7751,232.3319,-0.6421,-0.7251,0.1264,-1.5959,0.2162,-0.1063,0.0535,-0.3184
25,405.7025,228.0688,-0.6352,-0.7029,0.2764,-1.5226,0.2879,-0.1868,-0.0454,-0.3093
25,411.0111,223.1723,-0.6195,-0.7,0.3928,-1.3872,0.4816,-0.0399,0.3678,-0.3708
25,415.2123,218.8578,-0.5892,-0.691,0.2826,-1.3638,0.4455,-0.1635,-0.052,-0.4191
25,420.8669,214.5724,-0.56,-0.449,0.3688,-1.204,0.5964,-0.0932,0.1777,-0.1408
25,425.428,211.0842,-0.5007,-0.5304,0.2685,-1.3551,0.6689,-0.2569,0.2465,-0.3214
25,429.1395,208.6436,-0.5256,-0.5117,0.3157,-1.2019,0.4986,-0.2399,-0.2014,-0.3445
25,434.4612,205.4269,-0.5433,-0.3904,0.2083,-1.3467,0.65,-0.1394,0.0727,-0.4802
25,438.7493,202.1449,-0.4821,-0.4478,0.0977,-1.4567,0.3331,-0.1898,0.177,-0.5037
25,441.6907,198.5573,-0.531,-0.5042,0.2475,-1.303,0.401,-0.2355,0.0721,-0.3974
25,444.7342,195.5627,-0.5559,-0.4746,0.1205,-1.3942,0.1599,-0.1151,0.0802,-0.3809
25,448.5129,192.2638,-0.6051,-0.4894,0.1776,-1.3133,0.5334,0.048,0.3719,-0.3817
25,452.5611,187.6175,-0.6639,-0.4673,0.1717,-1.3437,0.5049,0.1519,0.4539,-0.3466
25,456.1057,184.1236,-0.6234,-0.4755,0.3453,-1.3149,0.7085,0.0092,0.4531,-0.272
25,459.1647,180.8526,-0.6355,-0.3325,0.4554,-1.139,0.6204,0.0115,0.3087,-0.3874
25,461.0369,177.1582,-0.5888,-0.3455,0.4925,-1.0379,0.6627,-0.0792,0.325,-0.0907
25,464.2272,174.5911,-0.5391,-0.3049,0.4415,-0.981,0.6717,-0.1258,-0.0101,-0.1748
25,466.2046,171.9364,-0.5728,-0.3928,0.388,-1.2553,0.4928,-0.2486,0.3443,-0.3461
25,466.8449,168.8492,-0.5653,-0.2434,0.2711,-1.2312,0.3037,-0.3064,-0.1698,-0.2671
25,467.5754,167.5949,-0.5673,-0.2903,0.3399,-1.1408,0.264,-0.093,0.0944,-0.3186
25,467.9991,166.5695,-0.5933,-0.2054,0.341,-1.0451,0.2766,-0.4603,-0.156,-0.0786
25,468.978,165.2616,-0.6233,-0.125,0.3764,-0.9677,0.1625,-0.5198,-0.1419,0.0631
25,470.7632,166.0049,-0.6142,-0.1867,0.3606,-0.9908,0.1354,-0.6128,-0.0949,0.2083
25,471.1317,165.8889,-0.6693,-0.2079,0.4491,-1.0435,0.2304,-0.7078,-0.3032,0.2084
25,470.9484,166.4845,-0.6401,-0.071,0.5416,-1.0114,0.1669,-0.7257,-0.2367,0.2756
25,471.5111,167.1002,-0.6714,-0.2198,0.5052,-1.0719,0.1992,-0.6326,-0.4417,0.2771
25,472.1739,166.8666,-0.6417,-0.2097,0.5058,-0.9448,-0.0429,-0.5379,-0.1354,0.2726
