week,mouse_id,condition,behavior,duration_s,bin_index,bin_label,bout_onset_s
Preinduction,423,Social,Social_interaction,0.6000000000130967,1,2.5-5.0min,227.12003200000072
Preinduction,423,Social,Social_interaction,2.2400000000488944,1,2.5-5.0min,233.08003199999985
Preinduction,423,Social,Social_interaction,1.6800000000366708,1,2.5-5.0min,249.07999999999993
Preinduction,423,Social,Social_interaction,2.400000000052387,1,2.5-5.0min,268.47999999999956
Preinduction,423,Social,Social_interaction,6.280000000137079,1,2.5-5.0min,275.28000000000065
Preinduction,423,Social,Social_interaction,2.080000000045402,1,2.5-5.0min,283.0799999999999
Preinduction,423,Social,Social_interaction,4.160000000090804,1,2.5-5.0min,295.7600000000002
Preinduction,423,Novel,Social_interaction,1.4400000000314321,0,0.0-2.5min,21.160031999999774
Preinduction,423,Novel,Social_interaction,3.120000000068103,0,0.0-2.5min,55.64003199999934
Preinduction,423,Novel,Social_interaction,12.240000000267173,1,2.5-5.0min,274.88019200000053
Preinduction,584,Hab,Novel_interaction,2.400000000052387,1,2.5-5.0min,158.0402240000003
Preinduction,584,Hab,Novel_interaction,2.040000000044529,1,2.5-5.0min,161.1602239999993
Preinduction,584,Hab,Novel_interaction,3.6800000000803266,1,2.5-5.0min,165.60025599999972
Preinduction,584,Hab,Novel_interaction,0.040000000000873115,1,2.5-5.0min,210.00028799999927
Preinduction,584,Hab,Novel_interaction,2.6800000000584987,1,2.5-5.0min,210.16028799999913
Preinduction,584,Hab,Novel_interaction,0.8800000000192085,1,2.5-5.0min,216.8803200000002
Preinduction,584,Hab,Novel_interaction,5.440000000118744,1,2.5-5.0min,239.52031999999963
Preinduction,584,Hab,Novel_interaction,0.40000000000873115,1,2.5-5.0min,247.40031999999883
Preinduction,584,Hab,Social_interaction,2.8800000000628643,0,0.0-2.5min,16.520032000000356
Preinduction,584,Hab,Social_interaction,5.7600000001257285,0,0.0-2.5min,99.28016000000025
Preinduction,584,Hab,Social_interaction,2.6000000000567525,0,0.0-2.5min,105.72015999999894
Preinduction,584,Hab,Social_interaction,3.800000000082946,0,0.0-2.5min,134.96019199999864
Preinduction,584,Social,Novel_interaction,3.3200000000724685,0,0.0-2.5min,8.1200000000008
Preinduction,584,Social,Novel_interaction,1.2400000000270666,0,0.0-2.5min,14.400000000001455
Preinduction,584,Social,Novel_interaction,0.5200000000113505,0,0.0-2.5min,19.31999999999971
Preinduction,584,Social,Novel_interaction,4.480000000097789,1,2.5-5.0min,242.99996800000008
Preinduction,584,Social,Social_interaction,15.080000000329164,0,0.0-2.5min,37.52000000000044
Preinduction,584,Social,Social_interaction,4.120000000089931,0,0.0-2.5min,56.11996800000088
Preinduction,584,Social,Social_interaction,2.120000000046275,0,0.0-2.5min,68.95996800000103
Preinduction,584,Social,Social_interaction,3.0400000000663567,0,0.0-2.5min,71.7599680000003
Preinduction,584,Social,Social_interaction,1.2400000000270666,0,0.0-2.5min,76.99996800000008
Preinduction,584,Social,Social_interaction,10.28000000022439,0,0.0-2.5min,82.27996800000074
Preinduction,584,Social,Social_interaction,3.6800000000803266,0,0.0-2.5min,96.03996800000095
Preinduction,584,Social,Social_interaction,3.760000000082073,0,0.0-2.5min,102.67996800000037
Preinduction,584,Social,Social_interaction,18.200000000397267,0,0.0-2.5min,118.19996800000081
Preinduction,584,Social,Social_interaction,12.480000000272412,1,2.5-5.0min,154.95996800000103
Preinduction,584,Social,Social_interaction,4.640000000101281,1,2.5-5.0min,177.63996800000132
Preinduction,584,Social,Social_interaction,8.720000000190339,1,2.5-5.0min,185.23996799999986
Preinduction,584,Social,Social_interaction,3.6000000000785803,1,2.5-5.0min,204.1999680000008
Preinduction,584,Novel,Novel_interaction,3.5600000000777072,0,0.0-2.5min,6.199968000000808
Preinduction,584,Novel,Novel_interaction,4.920000000107393,0,0.0-2.5min,93.71996800000124
Preinduction,584,Novel,Novel_interaction,1.0000000000218279,0,0.0-2.5min,114.55996800000139
Preinduction,584,Novel,Novel_interaction,7.680000000167638,0,0.0-2.5min,117.71996800000124
Preinduction,584,Novel,Novel_interaction,9.480000000206928,1,2.5-5.0min,226.40003200000137
Preinduction,584,Novel,Novel_interaction,2.080000000045402,1,2.5-5.0min,243.00006399999984
Preinduction,584,Novel,Novel_interaction,2.120000000046275,1,2.5-5.0min,253.0400640000007
Preinduction,584,Novel,Novel_interaction,8.640000000188593,1,2.5-5.0min,271.60009600000194
Preinduction,584,Novel,Novel_interaction,2.160000000047148,1,2.5-5.0min,283.04012800000055
