method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,trial_SD,threshold_z,is_social_interaction,social_bout_number,time_from_social_onset_s,time_from_social_offset_s
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,10,111.39990399999988,2.2537542450179044,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,11,121.95990400000028,4.386750932485435,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,12,122.75990400000046,2.0482477897402602,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,13,125.7199040000005,1.922818710026252,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,14,128.55990399999973,3.063320067422471,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,15,159.19990400000006,2.3776774358612167,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,16,160.0399040000002,2.36748545930888,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,17,162.55990399999973,3.0963372692186186,0.9190635134547634,1.838127026909527,True,1.0,0.08590399999974352,-14.319096000000258
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,18,163.19990400000006,3.3020572228499985,0.9190635134547634,1.838127026909527,True,1.0,0.7259040000000709,-13.67909599999993
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,19,164.39990399999988,3.134324170699001,0.9190635134547634,1.838127026909527,True,1.0,1.925903999999889,-12.479096000000112
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,20,174.19987200000014,4.5046721393665905,0.9190635134547634,1.838127026909527,True,1.0,11.725872000000152,-2.6791279999998494
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,21,177.7998720000005,3.160047367454841,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,22,180.9198720000004,1.8460319665407363,0.9190635134547634,1.838127026909527,False,,,
