method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_SD,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
static_trial_SD,W2__ID588_NE__3CT_FP2_3__3CT_W2_C3-Trial_____4,588,NE,Novel,W2,Interaction,42.03999999999998,18,0.42816365366317816,25.68981921979069,3.4240820512656054,3.257590037881629,0.9779287795038201,1.9558575590076401,299.88009599999987,42.03999999999998,257.8400959999999,7
static_trial_SD,Preinduction__ID590_NE__3CT_FP5_3__3CT_Preinduction_C3-Trial_____7,590,NE,Novel,Preinduction,Interaction,60.17999999999992,5,0.08308408109006325,4.985044865403795,2.518542895362726,2.4577070878058613,0.9396672176643066,1.8793344353286132,299.88022399999863,60.17999999999992,239.7002239999987,7
static_trial_SD,W2__ID590_NE__3CT_FP5_3__3CT_W2_C3-Trial_____7,590,NE,Novel,W2,Interaction,78.81999999999995,16,0.2029941639177875,12.179649835067249,2.686865407970208,2.6502352670550664,0.9584992811449683,1.9169985622899366,299.87993600000027,78.81999999999995,221.05993600000033,10
static_trial_SD,Preinduction__ID533_NE__3CT_FP22_3__3CT_Preinduction_C3-Trial____24,533,NE,Novel,Preinduction,Outside_interaction,286.0008640000016,19,0.06643336573976186,3.9860019443857113,3.2772947160159567,2.780949595194431,1.0183285883065416,2.036657176613083,299.8408640000016,13.83999999999999,286.0008640000016,3
static_trial_SD,W1__ID533_NE__3CT_FP24_3__3CT_W1_C3-Trial____28,533,NE,Novel,W1,Outside_interaction,264.16041599999994,12,0.045426942392458994,2.7256165435475395,2.94411559484071,2.7668725778201004,0.9758035640280444,1.9516071280560887,299.88041599999997,35.72000000000003,264.16041599999994,5
static_trial_SD,W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,533,NE,Novel,W2,Outside_interaction,252.60038400000002,22,0.08709408771128392,5.225645262677035,2.680360962837085,2.5341785343927143,0.9449686998879144,1.8899373997758289,299.88038400000005,47.28000000000003,252.60038400000002,7
static_trial_SD,Preinduction__ID541_NE__3CT_FP25_3__3CT_Preinduction_C3-Trial____27,541,NE,Novel,Preinduction,Outside_interaction,297.92079999999817,37,0.1241940811114908,7.451644866689448,2.8401123696227035,2.5983658300844374,0.9217296324954481,1.8434592649908963,299.8407999999981,1.9199999999999875,297.92079999999817,1
static_trial_SD,W1__ID541_NE__3CT_FP28_3__3CT_W1_C3-Trial____33,541,NE,Novel,W1,Outside_interaction,276.960064,32,0.11554012350314882,6.9324074101889295,2.8200943157456235,2.5909496556055247,0.969382981985481,1.938765963970962,299.840064,22.880000000000024,276.960064,5
static_trial_SD,W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,541,NE,Novel,W2,Outside_interaction,289.4800319999973,36,0.12436090928717437,7.461654557230462,2.7012068722381875,2.693794649351517,0.9180689000883018,1.8361378001766036,299.8800319999973,10.400000000000006,289.4800319999973,6
static_trial_SD,Preinduction__ID566_NE__3CT_FP9_3__3CT_Preinduction_C3-Trial____11,566,NE,Novel,Preinduction,Outside_interaction,267.46031999999934,29,0.10842729867368764,6.505637920421258,2.734190903044554,2.5617513419599174,1.0128442286461206,2.025688457292241,299.84031999999934,32.38,267.46031999999934,7
