week,mouse_id,condition,behavior,duration_s
Preinduction,459,Social,Social_interaction,0.5599680000013905
Preinduction,459,Social,Social_interaction,1.0799999999999272
Preinduction,459,Social,Social_interaction,0.6399999999994179
Preinduction,459,Social,Social_interaction,11.680000000000291
Preinduction,459,Social,Social_interaction,1.3999999999996362
Preinduction,459,Novel,Novel_interaction,2.1599999999998545
Preinduction,459,Novel,Novel_interaction,11.19996799999899
Preinduction,459,Novel,Social_interaction,0.31999999999970896
Preinduction,459,Novel,Social_interaction,3.2399999999997817
Preinduction,459,Novel,Social_interaction,6.599999999998545
Preinduction,459,Novel,Social_interaction,2.640000000001237
Preinduction,459,Novel,Social_interaction,20.55996799999957
Preinduction,459,Novel,Social_interaction,3.8799999999991996
Preinduction,398,Social,Social_interaction,9.1200000000008
Preinduction,398,Social,Social_interaction,2.5200000000004366
Preinduction,398,Social,Social_interaction,0.4400000000005093
Preinduction,398,Social,Social_interaction,6.360000000000582
Preinduction,398,Social,Social_interaction,3.0799999999999272
Preinduction,398,Novel,Novel_interaction,16.600000000000364
Preinduction,398,Novel,Social_interaction,2.0
Preinduction,400,Social,Novel_interaction,3.5200000000004366
Preinduction,400,Social,Novel_interaction,11.559967999997752
Preinduction,400,Social,Novel_interaction,1.7199999999975262
Preinduction,400,Social,Novel_interaction,12.839968000000226
Preinduction,400,Social,Social_interaction,12.839967999996588
Preinduction,400,Social,Social_interaction,5.400000000001455
Preinduction,400,Social,Social_interaction,1.8799999999973807
Preinduction,400,Social,Social_interaction,12.599968000002264
Preinduction,400,Social,Social_interaction,2.600000000002183
Preinduction,400,Social,Social_interaction,11.159999999999854
Preinduction,400,Social,Social_interaction,0.3600000000005821
Preinduction,400,Social,Social_interaction,2.960000000002765
Preinduction,400,Novel,Novel_interaction,6.120000000002619
Preinduction,400,Novel,Novel_interaction,2.719968000001245
Preinduction,400,Novel,Novel_interaction,1.9600000000027649
Preinduction,400,Novel,Novel_interaction,2.360000000000582
Preinduction,400,Novel,Novel_interaction,1.1599999999998545
Preinduction,400,Novel,Novel_interaction,1.5599679999977525
Preinduction,400,Novel,Novel_interaction,5.56000000000131
Preinduction,400,Novel,Novel_interaction,4.19999999999709
Preinduction,400,Novel,Novel_interaction,8.919968000001973
Preinduction,400,Novel,Novel_interaction,1.6000000000021828
Preinduction,400,Novel,Social_interaction,15.479967999999644
Preinduction,400,Novel,Social_interaction,7.920000000001892
Preinduction,400,Novel,Social_interaction,14.279967999998917
Preinduction,400,Novel,Social_interaction,2.2799680000025546
Preinduction,400,Novel,Social_interaction,3.1599999999998545
Preinduction,400,Novel,Social_interaction,6.759999999998399
W1,376,Social,Novel_interaction,10.0
W1,376,Social,Novel_interaction,5.359967999999753
W1,376,Social,Novel_interaction,1.2799999999997453
W1,376,Social,Novel_interaction,7.440000000000055
W1,376,Social,Novel_interaction,1.6799999999998363
W1,376,Social,Social_interaction,2.2400000000002365
W1,376,Social,Social_interaction,1.7999999999997272
W1,376,Social,Social_interaction,5.439968000000135
W1,376,Social,Social_interaction,4.639999999999873
W1,376,Social,Social_interaction,0.680000000000291
W1,376,Social,Social_interaction,9.640000000000327
W1,376,Social,Social_interaction,0.44000000000005457
W1,376,Social,Social_interaction,1.9599999999995816
W1,376,Social,Social_interaction,0.8399999999996908
W1,376,Social,Social_interaction,6.679968000000372
W1,376,Social,Social_interaction,2.7599999999997635
W1,376,Social,Social_interaction,7.440000000000055
W1,376,Social,Social_interaction,1.7199999999998
W1,376,Novel,Novel_interaction,1.2400000000002365
W1,376,Novel,Novel_interaction,1.0799999999999272
W1,376,Novel,Novel_interaction,11.279967999999826
W1,376,Novel,Novel_interaction,3.8400000000001455
W1,376,Novel,Novel_interaction,2.5599999999999454
W1,376,Novel,Novel_interaction,14.359968000000208
W1,376,Novel,Novel_interaction,21.559968000000026
W1,376,Novel,Novel_interaction,1.4399999999995998
W1,376,Novel,Social_interaction,4.759967999999844
W1,376,Novel,Social_interaction,1.4800000000000182
W1,376,Novel,Social_interaction,3.9600000000000364
