mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,mean_absolute_deviation,threshold_z,n_social_bouts
398,NE,W2__ID398_NE__3CT_FP11_2__3CT_W2_C2-Trial____13,Novel,W2,Entire_trial,299.8403839999992,83,0.27681394644958907,16.608836786975345,2.1948045317351204,2.0595655214650033,0.771931796181187,1.1578976942717805,3
400,NE,Preinduction__ID400_NE__3CT_FP14_2__3CT_Preinduction_cohort2_FP-Trial____16,Novel,Preinduction,Entire_trial,299.83952000000136,79,0.2634742745052408,15.808456470314448,1.7748769014698318,1.5784831304103726,0.7989373754674625,1.1984060632011937,6
400,NE,W1__ID400_NE__3CT_FP14_2__3CT_W1_cohort2_FP-Trial____16,Novel,W1,Entire_trial,299.8397760000007,74,0.24679847679715392,14.807908607829235,1.8952419470918749,1.734463817838034,0.7994542689264078,1.1991814033896118,2
400,NE,W2__ID400_NE__3CT_FP14_2__3CT_W2_C2-Trial____17,Novel,W2,Entire_trial,299.84047999999893,79,0.26347343093901227,15.808405856340736,1.9079388479996742,1.719768469263806,0.7837642461214929,1.1756463691822394,14
423,NE,Preinduction__ID423_NE__3CT_FP_12_1__3CT_Preinduction-Trial____18,Novel,Preinduction,Entire_trial,299.8402239999996,88,0.29348964200346955,17.609378520208175,2.11770771811819,1.7155619324817515,0.7643971362852092,1.1465957044278139,3
423,NE,W1__ID423_NE__3CT_FP16_1__3CT_W1_retracked-Trial____18,Novel,W1,Entire_trial,299.84003200000006,79,0.26347382460258,15.808429476154801,2.0746790589764488,1.6370644922869075,0.7011717720605439,1.051757658090816,4
423,NE,W2__ID423_NE__3CT_FP15_1__3CT_W2-Trial____17,Novel,W2,Entire_trial,299.84032000000116,97,0.3235055245405275,19.41033147243165,2.1902883270194358,1.8022959905709879,0.7258433256504734,1.08876498847571,7
429,WT,Preinduction__ID429_WT__3CT_FP_9_1__3CT_Preinduction-Trial____15,Novel,Preinduction,Entire_trial,299.87974399999985,92,0.3067896443182239,18.407378659093435,1.9001103638036971,1.62798071938401,0.760168383326889,1.1402525749903334,5
429,WT,W1__ID429_WT__3CT_FP12_1__3CT_W1_retracked-Trial____15,Novel,W1,Entire_trial,299.88022400000045,80,0.2667731767467263,16.006390604803578,2.3536655074943127,2.1145580757215785,0.7286893500132484,1.0930340250198727,5
429,WT,W2__ID429_WT__3CT_FP12_1__3CT_W2-Trial____14,Novel,W2,Entire_trial,299.84044800000083,76,0.25346813782775496,15.208088269665298,2.253048717358272,1.9603884169907577,0.7395110907794742,1.1092666361692114,7
450,NE,Preinduction__ID450_NE__3CT_FP19_3__3CT_Preinduction_C3_check_arena_settings-Trial____21,Novel,Preinduction,Entire_trial,299.8405759999987,85,0.2834839805003589,17.009038830021534,1.7868807071534654,1.6231014788368785,0.8052690025882839,1.207903503882426,3
450,NE,W1__ID450_NE__3CT_FP21_3__3CT_W1_C3-Trial____25,Novel,W1,Entire_trial,299.840416,73,0.24346284258090142,14.607770554854085,1.7875658272862667,1.6052547221769486,0.7948664005828624,1.1922996008742937,7
450,NE,W2__ID450_NE__3CT_FP17_3__3CT_W2_C3-Trial____19,Novel,W2,Entire_trial,299.84000000000015,81,0.27014407684098174,16.208644610458904,1.8870555150113493,1.5596681484926636,0.760892984328149,1.1413394764922236,8
459,NE,Preinduction__ID459_NE__3CT_FP8_2__3CT_Preinduction_cohort2_FP-Trial____10,Novel,Preinduction,Entire_trial,299.8798079999997,78,0.2601042081499535,15.60625248899721,1.9764361036197546,1.7897031930624605,0.7845939890392788,1.176890983558918,6
459,NE,W1__ID459_NE__3CT_FP8_2__3CT_W1_cohort2_FP-Trial____10,Novel,W1,Entire_trial,299.84000000000015,77,0.2568036286019209,15.408217716115255,1.9726478654571995,1.9778774305719302,0.784199254512848,1.1762988817692719,13
459,NE,W2__ID459_NE__3CT_FP8_2__3CT_W2_C2-Trial____10,Novel,W2,Entire_trial,299.8402560000004,91,0.30349493831808855,18.209696299085312,2.0393255827727503,1.575902314440991,0.7104767235930638,1.0657150853895958,10
463,WT,Preinduction__ID463_WT__3CT_FP5_2__3CT_Preinduction_cohort2_FP-Trial_____7,Novel,Preinduction,Entire_trial,299.8397760000007,73,0.243463362245841,14.60780173475046,2.1173116671890244,1.711192927278754,0.7517488565289121,1.1276232847933683,11
463,WT,W1__ID463_WT__3CT_FP5_2__3CT_W1_cohort2_FP-Trial_____7,Novel,W1,Entire_trial,299.8399360000003,71,0.23679300678612714,14.207580407167628,1.9857693006338204,1.6513617523368744,0.7436360911068565,1.1154541366602846,14
463,WT,W2__ID463_WT__3CT_FP5_2__3CT_W2_C2-Trial_____7,Novel,W2,Entire_trial,299.8401279999998,88,0.29348973597023026,17.609384158213814,1.996135631489532,1.740605873582266,0.7623063458897699,1.1434595188346548,10
584,NE,Preinduction__ID584_NE__3CT_FP15_3__3CT_Preinduction_C3_check_arena_settings-Trial____17,Novel,Preinduction,Entire_trial,299.8401279999998,93,0.310165289150357,18.609917349021423,2.2955478397745614,1.871296753575627,0.7162955996855678,1.0744433995283518,5
584,NE,W1__ID584_NE__3CT_FP14_3__3CT_W1_C3-Trial____17,Novel,W1,Entire_trial,299.8400959999999,88,0.2934897672924972,17.609386037549832,2.147939542188389,1.8546486424490904,0.7545474993286913,1.1318212489930368,10
584,NE,W2__ID584_NE__3CT_FP14_3__3CT_W2_C3-Trial____16,Novel,W2,Entire_trial,299.8404800000026,116,0.38687237960664617,23.21234277639877,2.117813632654228,1.8697602604660906,0.7769495848933177,1.1654243773399764,14
597,NE,Preinduction__ID597_NE__3CT_FP29_3__3CT_Preinduction_C3_check_arena_settings-Trial____31,Novel,Preinduction,Entire_trial,299.88086399999884,103,0.34346973203331976,20.608183921999185,2.079634930517625,1.921351971042568,0.7715441666298728,1.157316249944809,4
597,NE,W1__ID597_NE__3CT_FP31_3__3CT_W1_C3-Trial____36,Novel,W1,Entire_trial,299.8402239999996,104,0.3468513950950095,20.81108370570057,2.132030639140446,1.906959768743934,0.789251038293658,1.1838765574404868,6
597,NE,W2__ID597_NE__3CT_FP26_3__3CT_W2_C3-Trial____28,Novel,W2,Entire_trial,299.88022400000045,103,0.34347046506141016,20.60822790368461,2.1678345420902096,2.048681603701793,0.7682740110936995,1.1524110166405492,9
372,NE,Preinduction__ID372_NE__3CT_FP_2_1__3CT_Preinduction-Trial_____8,Social,Preinduction,Entire_trial,299.83971199999996,85,0.2834847973706699,17.009087842240195,2.215003343066546,1.9637921192523764,0.7783003212318976,1.1674504818478464,3
372,NE,W1__ID372_NE__3CT_FP4_1__3CT_W1_retracked-Trial_____7,Social,W1,Entire_trial,299.8399359999994,85,0.2834845855890263,17.009075135341575,1.9769494722258865,1.7135777146661262,0.7833984280915313,1.175097642137297,6
372,NE,W2__ID372_NE__3CT_FP4_1__3CT_W2-Trial_____6,Social,W2,Entire_trial,299.87990400000035,82,0.27344279795421006,16.406567877252602,2.0362954350561933,1.7472665892022587,0.7537591445578026,1.1306387168367038,7
374,WT,Preinduction__ID374_WT__3CT_FP_5_1__3CT_Preinduction-Trial____11,Social,Preinduction,Entire_trial,299.83967999999913,99,0.3301764462928999,19.81058677757399,2.05090844054011,1.67869427544966,0.7360923575041183,1.1041385362561775,9
374,WT,W1__ID374_WT__3CT_FP7_1__3CT_W1_retracked-Trial____10,Social,W1,Entire_trial,299.84003200000006,95,0.31683561186386205,19.010136711831723,2.190328158963225,1.9508601220192923,0.7576484032806514,1.1364726049209772,4
374,WT,W2__ID374_WT__3CT_FP8_1__3CT_W2-Trial____10,Social,W2,Entire_trial,299.84000000000015,89,0.2968249733191034,17.809498399146204,2.0691319189991164,1.7254613558523288,0.7392359853928081,1.1088539780892122,10
376,NE,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,Social,Preinduction,Entire_trial,299.87984000000006,92,0.30678954610620035,18.40737276637202,1.9989379423336897,1.5679726410436927,0.7116199755357224,1.0674299633035838,11
376,NE,W1__ID376_NE__3CT_FP1_1__3CT_W1_retracked-Trial_____4,Social,W1,Entire_trial,299.8796480000001,73,0.243430991355572,14.60585948133432,2.2678289725489313,1.8680734233387286,0.7191098254993654,1.0786647382490482,13
376,NE,W2__ID376_NE__3CT_FP1_1__3CT_W2-Trial_____3,Social,W2,Entire_trial,299.880032,72,0.24009601279487655,14.405760767692593,2.3206769136225396,1.8584416125662175,0.7075598761811298,1.0613398142716948,14
398,NE,Preinduction__ID398_NE__3CT_FP10_2__3CT_Preinduction_cohort2_FP-Trial____12,Social,Preinduction,Entire_trial,299.8403520000011,83,0.27681397599212965,16.60883855952778,2.152859363068634,1.7651438033324813,0.7295821826840175,1.0943732740260264,5
398,NE,W1__ID398_NE__3CT_FP10_2__3CT_W1_cohort2_FP-Trial____12,Social,W1,Entire_trial,299.88025599999855,87,0.2901157987540214,17.406947925241283,2.019279748530385,1.8087550311753897,0.7671985668650152,1.150797850297523,9
398,NE,W2__ID398_NE__3CT_FP10_2__3CT_W2_C2-Trial____12,Social,W2,Entire_trial,299.8400959999999,83,0.27681421233269626,16.608852739961776,2.2602416611164005,2.1411040324704143,0.7466186543002095,1.1199279814503142,8
400,NE,Preinduction__ID400_NE__3CT_FP13_2__3CT_Preinduction_cohort2_FP-Trial____15,Social,Preinduction,Entire_trial,299.8394560000015,68,0.22678803152577642,13.607281891546585,1.8601413017012345,1.6977864067344917,0.817065692616401,1.2255985389246016,9
400,NE,W1__ID400_NE__3CT_FP13_2__3CT_W1_cohort2_FP-Trial____15,Social,W1,Entire_trial,299.8399679999984,78,0.2601387684246298,15.608326105477788,1.8896119726926552,1.7353866303983096,0.791781448974096,1.187672173461144,8
400,NE,W2__ID400_NE__3CT_FP13_2__3CT_W2_C2-Trial____16,Social,W2,Entire_trial,299.8802880000003,74,0.24676513582646661,14.805908149587998,1.9281937973092256,1.7991879082342195,0.7550463574937484,1.1325695362406225,4
423,NE,Preinduction__ID423_NE__3CT_FP_11_1__3CT_Preinduction-Trial____17,Social,Preinduction,Entire_trial,299.8799679999993,82,0.2734427395963981,16.406564375783887,2.2498496310516165,1.867024743884962,0.7230004255749068,1.0845006383623603,13
423,NE,W1__ID423_NE__3CT_FP14_1__3CT_W1_retracked-Trial____17,Social,W1,Entire_trial,299.8402559999995,88,0.29348961068122936,17.609376640873762,2.0095122230276794,1.68873913794672,0.7370070196235093,1.105510529435264,5
423,NE,W2__ID423_NE__3CT_FP14_1__3CT_W2-Trial____16,Social,W2,Entire_trial,299.8402879999994,81,0.27014381736453025,16.208629041871816,2.328627300860534,1.9940318183756371,0.7346747462051076,1.1020121193076615,11
429,WT,Preinduction__ID429_WT__3CT_FP_8_1__3CT_Preinduction-Trial____14,Social,Preinduction,Entire_trial,299.8798399999996,89,0.29678553916795514,17.807132350077307,1.964427819382505,1.7167978941350035,0.7582339260644324,1.1373508890966486,11
