method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,n_social_bouts
whole_trial_mean_MAD,Preinduction__ID429_WT__3CT_FP_8_1__3CT_Preinduction-Trial____14,429,WT,Social,Preinduction,Entire_trial,299.8798399999996,89,0.29678553916795514,17.807132350077307,1.964427819382505,1.7167978941350035,-1.5162288306430518e-17,0.7582339260644324,1.1373508890966486,11
whole_trial_mean_MAD,Preinduction__ID429_WT__3CT_FP_8_1__3CT_Preinduction-Trial____14,429,WT,Social,Preinduction,Social_interaction,76.27999999999997,28,0.3670686942842162,22.02412165705297,2.3739611831730856,2.0714530042839696,-1.5162288306430518e-17,0.7582339260644324,1.1373508890966486,11
whole_trial_mean_MAD,Preinduction__ID429_WT__3CT_FP_9_1__3CT_Preinduction-Trial____15,429,WT,Novel,Preinduction,Entire_trial,299.87974399999985,92,0.3067896443182239,18.407378659093435,1.9001103638036971,1.62798071938401,7.581144153215259e-18,0.760168383326889,1.1402525749903334,5
whole_trial_mean_MAD,Preinduction__ID429_WT__3CT_FP_9_1__3CT_Preinduction-Trial____15,429,WT,Novel,Preinduction,Social_interaction,20.799999999999997,7,0.33653846153846156,20.192307692307693,2.423329394504763,2.00809108167791,7.581144153215259e-18,0.760168383326889,1.1402525749903334,5
whole_trial_mean_MAD,Preinduction__ID423_NE__3CT_FP_11_1__3CT_Preinduction-Trial____17,423,NE,Social,Preinduction,Entire_trial,299.8799679999993,82,0.2734427395963981,16.406564375783887,2.2498496310516165,1.867024743884962,2.274343245964578e-17,0.7230004255749068,1.0845006383623603,13
whole_trial_mean_MAD,Preinduction__ID423_NE__3CT_FP_11_1__3CT_Preinduction-Trial____17,423,NE,Social,Preinduction,Social_interaction,77.66,39,0.5021890291012104,30.131341746072625,2.518875535293484,2.2099927914294804,2.274343245964578e-17,0.7230004255749068,1.0845006383623603,13
whole_trial_mean_MAD,Preinduction__ID423_NE__3CT_FP_12_1__3CT_Preinduction-Trial____18,423,NE,Novel,Preinduction,Entire_trial,299.8402239999996,88,0.29348964200346955,17.609378520208175,2.11770771811819,1.7155619324817515,7.582155376925172e-18,0.7643971362852092,1.1465957044278139,3
whole_trial_mean_MAD,Preinduction__ID423_NE__3CT_FP_12_1__3CT_Preinduction-Trial____18,423,NE,Novel,Preinduction,Social_interaction,16.80000000000001,6,0.35714285714285693,21.428571428571416,2.380515655949118,1.628405647457123,7.582155376925172e-18,0.7643971362852092,1.1465957044278139,3
whole_trial_mean_MAD,Preinduction__ID584_NE__3CT_FP13_3__3CT_Preinduction_C3_check_arena_settings-Trial____15,584,NE,Hab,Preinduction,Entire_trial,299.84031999999934,92,0.30682998203844036,18.409798922306422,2.1837738715348,2.050501111125045,1.5164310753850343e-17,0.7760288033279787,1.1640432049919682,4
whole_trial_mean_MAD,Preinduction__ID584_NE__3CT_FP13_3__3CT_Preinduction_C3_check_arena_settings-Trial____15,584,NE,Hab,Preinduction,Social_interaction,15.059999999999981,12,0.796812749003985,47.8087649402391,2.48870066359115,2.0894716614146134,1.5164310753850343e-17,0.7760288033279787,1.1640432049919682,4
