method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
mean_MAD,W1__ID597_NE__3CT_FP31_3__3CT_W1_C3-Trial____36,597,NE,Novel,W1,Interaction,15.98000000000004,7,0.43804755944931056,26.282853566958632,2.634376099740734,2.334057744705789,-7.582155376925172e-18,0.789251038293658,1.578502076587316,299.8402239999996,15.98000000000004,283.86022399999956,3
mean_MAD,W2__ID597_NE__3CT_FP26_3__3CT_W2_C3-Trial____28,597,NE,Novel,W2,Interaction,34.81999999999998,12,0.344629523262493,20.67777139574958,2.7202197399385053,2.7528683516631274,-3.790572076607629e-18,0.7682740110936995,1.536548022187399,299.88022400000045,34.81999999999998,265.06022400000046,8
mean_MAD,Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,372,NE,Novel,Preinduction,Outside interaction,268.79968,43,0.15997042853622442,9.598225712173466,2.3276783430600867,2.001627725148674,-1.1373233065387759e-17,0.7605407668067224,1.521081533613445,299.83968000000004,31.040000000000006,268.79968,9
mean_MAD,W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,372,NE,Novel,W1,Outside interaction,196.92374400000082,13,0.06601540137282758,3.9609240823696545,2.0884285992308254,1.6723815770201542,3.791077688462586e-18,0.7045566101806509,1.4091132203613017,299.8397440000008,102.91599999999997,196.92374400000082,9
mean_MAD,W2__ID372_NE__3CT_FP6_1__3CT_W2-Trial_____8,372,NE,Novel,W2,Outside interaction,228.86012799999978,42,0.1835182054953672,11.011092329722032,2.4368500505770534,2.071871729239538,7.581144153215259e-18,0.7583183927659494,1.5166367855318987,299.8801279999998,71.02000000000001,228.86012799999978,9
mean_MAD,Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,374,WT,Novel,Preinduction,Outside interaction,261.4995199999986,59,0.22562182905727826,13.537309743436696,2.489244881156274,2.405781352983636,1.5162288306430518e-17,0.7545071021916155,1.509014204383231,299.8795199999986,38.38000000000001,261.4995199999986,6
mean_MAD,W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,374,WT,Novel,W1,Outside interaction,226.1170320000002,29,0.12825216987634958,7.695130192580974,2.162745096293074,2.043059203929712,-1.7059849598081636e-17,0.7238777303726821,1.4477554607453642,299.84003200000006,73.72299999999987,226.1170320000002,11
mean_MAD,W2__ID374_WT__3CT_FP9_1__3CT_W2-Trial____11,374,WT,Novel,W2,Outside interaction,276.80003200000095,51,0.18424853361288565,11.05491201677314,2.304357521973936,2.0493077747906665,-3.790572076607629e-18,0.7267357364844886,1.4534714729689773,299.88003200000094,23.079999999999966,276.80003200000095,5
mean_MAD,Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,Outside interaction,269.13974399999984,51,0.18949263769828076,11.369558261896845,2.60103740528298,2.168152691394772,-2.0850927286544222e-17,0.7124421463483968,1.4248842926967935,299.8397439999999,30.700000000000024,269.13974399999984,5
mean_MAD,W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,376,NE,Novel,W1,Outside interaction,242.12148800000008,26,0.10738410793179988,6.443046475907993,2.290119098885907,1.8696425087984552,-1.5164310753850343e-17,0.7114413520909614,1.4228827041819228,299.8394880000001,57.71799999999999,242.12148800000008,8
mean_MAD,W2__ID376_NE__3CT_FP2_1__3CT_W2-Trial_____4,376,NE,Novel,W2,Outside interaction,271.50019199999963,53,0.1952116483217812,11.712698899306872,2.667373446772613,2.388832642901225,1.5164310753850343e-17,0.7326432968971018,1.4652865937942037,299.84019199999966,28.34000000000003,271.50019199999963,9
mean_MAD,Preinduction__ID398_NE__3CT_FP11_2__3CT_Preinduction_cohort2_FP-Trial____13,398,NE,Novel,Preinduction,Outside interaction,283.1940320000001,45,0.1589016536902161,9.534099221412967,2.294907114319624,2.1228264626721067,0.0,0.7763276829247048,1.5526553658494096,299.84003200000006,16.645999999999987,283.1940320000001,1
mean_MAD,W1__ID398_NE__3CT_FP11_2__3CT_W1_cohort2_FP-Trial____13,398,NE,Novel,W1,Outside interaction,266.90000000000015,41,0.15361558636193323,9.216935181715995,2.396307330057312,2.131248702275435,1.5164310753850343e-17,0.7576147946048171,1.5152295892096341,299.84000000000015,32.94,266.90000000000015,6
mean_MAD,W2__ID398_NE__3CT_FP11_2__3CT_W2_C2-Trial____13,398,NE,Novel,W2,Outside interaction,186.40038399999915,25,0.13411989537532346,8.047193722519408,2.398474666754355,2.3396397596818366,-3.411969919616327e-17,0.771931796181187,1.543863592362374,299.8403839999992,113.44000000000003,186.40038399999915,14
mean_MAD,Preinduction__ID400_NE__3CT_FP14_2__3CT_Preinduction_cohort2_FP-Trial____16,400,NE,Novel,Preinduction,Outside interaction,263.2265200000014,34,0.12916631652464128,7.749978991478477,2.213904560120118,2.1185905339891775,-6.065724301540137e-17,0.7989373754674625,1.597874750934925,299.83952000000136,36.61299999999996,263.2265200000014,10
mean_MAD,W1__ID400_NE__3CT_FP14_2__3CT_W1_cohort2_FP-Trial____16,400,NE,Novel,W1,Outside interaction,221.65977600000082,37,0.1669224821376697,10.015348928260181,2.159740632817697,1.9994541879114534,3.0328621507700686e-17,0.7994542689264078,1.5989085378528156,299.8397760000007,78.17999999999988,221.65977600000082,16
mean_MAD,W2__ID400_NE__3CT_FP14_2__3CT_W2_C2-Trial____17,400,NE,Novel,W2,Outside interaction,222.64047999999886,31,0.13923793193403175,8.354275916041905,2.382211018456223,2.19778961273916,-3.0328621507700686e-17,0.7837642461214929,1.5675284922429857,299.84047999999893,77.20000000000007,222.64047999999886,6
mean_MAD,Preinduction__ID423_NE__3CT_FP_12_1__3CT_Preinduction-Trial____18,423,NE,Novel,Preinduction,Outside interaction,299.8402239999996,58,0.1934363549568322,11.606181297409933,2.499537925589329,2.1841446627451067,7.582155376925172e-18,0.7643971362852092,1.5287942725704184,299.8402239999996,0.0,299.8402239999996,0
