method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
mean_MAD,W1__ID580_NE__3CT_FP11_3__3CT_W1_C3-Trial____14,580,NE,Novel,W1,Interaction,22.060000000000002,11,0.498640072529465,29.9184043517679,2.1886426150912137,2.014227299387102,-1.137171622982289e-17,0.7278838690135274,1.4557677380270548,299.88035200000013,22.060000000000002,277.8203520000001,4
mean_MAD,W2__ID580_NE__3CT_FP11_3__3CT_W2_C3-Trial____13,580,NE,Novel,W2,Interaction,14.499999999999986,7,0.48275862068965564,28.965517241379338,2.496005521537575,2.4836445232356037,1.5164310753850343e-17,0.784249234932091,1.568498469864182,299.8403520000011,14.499999999999986,285.3403520000011,8
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,Interaction,16.706000000000017,1,0.059858733389201425,3.5915240033520854,2.6606367283035333,2.6606367283035333,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677,299.8397759999998,16.706000000000017,283.1337759999998,4
mean_MAD,W1__ID588_NE__3CT_FP2_3__3CT_W1_C3-Trial_____4,588,NE,Novel,W1,Interaction,21.220000000000027,15,0.7068803016022611,42.412818096135666,3.2629280921570656,2.602048739739961,1.895538844231293e-17,0.7086361573836815,1.417272314767363,299.8398400000001,21.220000000000027,278.61984000000007,6
mean_MAD,W2__ID588_NE__3CT_FP2_3__3CT_W2_C3-Trial_____4,588,NE,Novel,W2,Interaction,42.03999999999998,20,0.47573739295908685,28.54424357754521,3.208466387584886,3.1538679485622856,1.137171622982289e-17,0.7475536015197236,1.4951072030394472,299.88009599999987,42.03999999999998,257.8400959999999,7
mean_MAD,Preinduction__ID590_NE__3CT_FP5_3__3CT_Preinduction_C3-Trial_____7,590,NE,Novel,Preinduction,Interaction,60.17999999999992,7,0.11631771352608855,6.9790628115653135,2.2112091509676235,2.152932491934175,1.137171622982289e-17,0.7888644335044733,1.5777288670089467,299.88022399999863,60.17999999999992,239.7002239999987,7
mean_MAD,W2__ID590_NE__3CT_FP5_3__3CT_W2_C3-Trial_____7,590,NE,Novel,W2,Interaction,78.81999999999995,24,0.30449124587668125,18.269474752600875,2.488182121373272,2.2105159545327693,3.79057207660763e-17,0.76732383524083,1.53464767048166,299.87993600000027,78.81999999999995,221.05993600000033,10
mean_MAD,Preinduction__ID533_NE__3CT_FP22_3__3CT_Preinduction_C3-Trial____24,533,NE,Novel,Preinduction,Outside interaction,286.0008640000016,45,0.15734218201522546,9.440530920913528,2.4028586642113954,1.9194184645590404,-7.582155376925172e-18,0.6797566454197647,1.3595132908395293,299.8408640000016,13.83999999999999,286.0008640000016,3
mean_MAD,W1__ID533_NE__3CT_FP24_3__3CT_W1_C3-Trial____28,533,NE,Novel,W1,Outside interaction,264.16041599999994,30,0.11356735598114748,6.814041358868849,2.207372581872695,1.8878621728642742,-7.581144153215259e-18,0.7463779975205963,1.4927559950411926,299.88041599999997,35.72000000000003,264.16041599999994,5
mean_MAD,W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,533,NE,Novel,W2,Outside interaction,252.60038400000002,40,0.15835288674778894,9.501173204867337,2.292310071022176,2.1131523918201314,3.0324576612861035e-17,0.7358214574690846,1.4716429149381691,299.88038400000005,47.28000000000003,252.60038400000002,7
mean_MAD,Preinduction__ID541_NE__3CT_FP25_3__3CT_Preinduction_C3-Trial____27,541,NE,Novel,Preinduction,Outside interaction,297.92079999999817,62,0.208109000781417,12.48654004688502,2.467787071734639,2.200834311744427,-6.065724301540137e-17,0.7436683971009644,1.4873367942019289,299.8407999999981,1.9199999999999875,297.92079999999817,1
mean_MAD,W1__ID541_NE__3CT_FP28_3__3CT_W1_C3-Trial____33,541,NE,Novel,W1,Outside interaction,276.960064,49,0.17692081411419663,10.615248846851799,2.420020965944898,2.2209601329489863,-3.0328621507700686e-17,0.7547865544405146,1.5095731088810291,299.840064,22.880000000000024,276.960064,5
mean_MAD,W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,541,NE,Novel,W2,Outside interaction,289.4800319999973,58,0.20035924274044759,12.021554564426856,2.371815846141415,2.138911955296365,7.581144153215259e-18,0.7762005622187369,1.5524011244374738,299.8800319999973,10.400000000000006,289.4800319999973,6
mean_MAD,Preinduction__ID566_NE__3CT_FP9_3__3CT_Preinduction_C3-Trial____11,566,NE,Novel,Preinduction,Outside interaction,267.46031999999934,51,0.1906824907709679,11.440949446258074,2.308920219258989,2.1064783326916765,4.1701854573088443e-17,0.7587468940046301,1.5174937880092603,299.84031999999934,32.38,267.46031999999934,7
