method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,analysis_window,interaction_bout_number,trial_mean_z,mean_absolute_deviation,threshold_z
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,44,253.79974399999992,2.7765348381913784,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,45,254.43971200000033,1.6667583018590144,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,46,259.5597120000002,1.520081500497697,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,47,260.3597120000004,2.209575257099544,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,48,268.6797120000001,1.7368909765649234,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,49,269.8797119999999,1.739989683627185,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,50,270.5597120000002,1.8385123851605707,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,51,278.83968000000004,2.263460916170538,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,52,284.03967999999986,1.4856765093278448,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,53,286.6396800000002,2.3503499412834037,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
