trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_min,mean_peak_amp_z,trial_SD,threshold_z,n_interaction_bouts
W1__ID541_NE__3CT_FP28_3__3CT_W1_C3-Trial____33,541,NE,Novel,W1,Interaction,22.880000000000024,5,13.111888111888097,2.390864016397978,0.969382981985481,1.938765963970962,5
W1__ID541_NE__3CT_FP28_3__3CT_W1_C3-Trial____33,541,NE,Novel,W1,Outside interaction,276.960064,32,6.9324074101889295,2.8200943157456235,0.969382981985481,1.938765963970962,5
W2__ID588_NE__3CT_FP1_3__3CT_W2_C3-Trial_____3,588,NE,Social,W2,Interaction,36.27999999999997,15,24.807056229327472,3.436686818158211,0.9737589651911404,1.9475179303822807,5
W2__ID588_NE__3CT_FP1_3__3CT_W2_C3-Trial_____3,588,NE,Social,W2,Outside interaction,263.5597439999999,34,7.740180533791991,2.673478991519493,0.9737589651911404,1.9475179303822807,5
W2__ID588_NE__3CT_FP2_3__3CT_W2_C3-Trial_____4,588,NE,Novel,W2,Interaction,42.03999999999998,18,25.68981921979069,3.4240820512656054,0.9779287795038201,1.9558575590076401,7
W2__ID588_NE__3CT_FP2_3__3CT_W2_C3-Trial_____4,588,NE,Novel,W2,Outside interaction,257.8400959999999,35,8.144582757213994,2.595768236183358,0.9779287795038201,1.9558575590076401,7
W2__ID590_NE__3CT_FP4_3__3CT_W2_C3-Trial_____6,590,NE,Social,W2,Interaction,56.80000000000001,18,19.01408450704225,2.718541890279539,0.9099494873200248,1.8198989746400496,6
W2__ID590_NE__3CT_FP4_3__3CT_W2_C3-Trial_____6,590,NE,Social,W2,Outside interaction,243.03999999999922,11,2.715602369980259,2.4998234144533935,0.9099494873200248,1.8198989746400496,6
W2__ID590_NE__3CT_FP5_3__3CT_W2_C3-Trial_____7,590,NE,Novel,W2,Interaction,78.81999999999995,16,12.179649835067249,2.686865407970208,0.9584992811449683,1.9169985622899366,10
W2__ID590_NE__3CT_FP5_3__3CT_W2_C3-Trial_____7,590,NE,Novel,W2,Outside interaction,221.05993600000033,21,5.699811656509293,2.4703372044873486,0.9584992811449683,1.9169985622899366,10
W2__ID566_NE__3CT_FP7_3__3CT_W2_C3-Trial_____9,566,NE,Social,W2,Interaction,87.96000000000001,15,10.231923601637106,2.6207426133229657,0.9691093598599928,1.9382187197199856,7
W2__ID566_NE__3CT_FP7_3__3CT_W2_C3-Trial_____9,566,NE,Social,W2,Outside interaction,211.88022399999957,20,5.663577172733225,2.7978311071204525,0.9691093598599928,1.9382187197199856,7
W2__ID566_NE__3CT_FP8_3__3CT_W2_C3-Trial____10,566,NE,Novel,W2,Interaction,87.8199999999999,21,14.347529036665925,3.1887616324616435,1.0711286433105076,2.142257286621015,14
W2__ID566_NE__3CT_FP8_3__3CT_W2_C3-Trial____10,566,NE,Novel,W2,Outside interaction,212.02019199999978,20,5.65983828559122,2.8820036818811747,1.0711286433105076,2.142257286621015,14
W2__ID580_NE__3CT_FP10_3__3CT_W2_C3-Trial____12,580,NE,Social,W2,Interaction,59.82000000000005,15,15.045135406218643,2.785192936542528,0.9344388021459245,1.868877604291849,10
W2__ID580_NE__3CT_FP10_3__3CT_W2_C3-Trial____12,580,NE,Social,W2,Outside interaction,240.0203519999992,29,7.249385252130643,2.7800787416002346,0.9344388021459245,1.868877604291849,10
W2__ID580_NE__3CT_FP11_3__3CT_W2_C3-Trial____13,580,NE,Novel,W2,Interaction,14.499999999999986,6,24.827586206896576,2.720732368608896,0.9803687552890183,1.9607375105780367,8
W2__ID580_NE__3CT_FP11_3__3CT_W2_C3-Trial____13,580,NE,Novel,W2,Outside interaction,285.3403520000011,35,7.359632050919991,2.811681968556668,0.9803687552890183,1.9607375105780367,8
W2__ID533_NE__3CT_FP19_3__3CT_W2_C3-Trial____21,533,NE,Social,W2,Interaction,76.04000000000002,16,12.624934245134137,2.785304046282269,0.887650926352291,1.775301852704582,8
W2__ID533_NE__3CT_FP19_3__3CT_W2_C3-Trial____21,533,NE,Social,W2,Outside interaction,223.80031999999932,15,4.021441971128561,2.375089341127605,0.887650926352291,1.775301852704582,8
W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,533,NE,Novel,W2,Interaction,47.28000000000003,15,19.035532994923845,3.513067170504776,0.9449686998879144,1.8899373997758289,7
W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,533,NE,Novel,W2,Outside interaction,252.60038400000002,22,5.225645262677035,2.680360962837085,0.9449686998879144,1.8899373997758289,7
W2__ID541_NE__3CT_FP22_3__3CT_W2_C3-Trial____24,541,NE,Social,W2,Interaction,42.18000000000001,14,19.914651493598857,2.9733278853778833,0.9738307175615976,1.9476614351231951,11
W2__ID541_NE__3CT_FP22_3__3CT_W2_C3-Trial____24,541,NE,Social,W2,Outside interaction,257.6999680000011,43,10.01164268673867,2.4908069573434655,0.9738307175615976,1.9476614351231951,11
W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,541,NE,Novel,W2,Interaction,10.400000000000006,5,28.84615384615383,2.198062365576404,0.9180689000883018,1.8361378001766036,6
W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,541,NE,Novel,W2,Outside interaction,289.4800319999973,36,7.461654557230462,2.7012068722381875,0.9180689000883018,1.8361378001766036,6
